"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","HHDI","GROSSADJ","USD_CAP","A","1995",16737.5594969423,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1996",17137.5743014069,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1997",17604.8182444825,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1998",17790.3344591256,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1999",18042.1177988147,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2000",19175.5305957314,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2001",19243.8092137803,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2002",20193.9600566045,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2003",20868.0435531989,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2004",21749.9816579794,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2005",23049.1747820827,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2006",23987.060721737,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2007",24916.3811313874,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2008",25393.9388735172,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2009",25581.2188418266,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2010",26402.0212615495,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2011",27299.6736016452,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2012",28447.4277034279,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2013",30474.3522723057,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2014",30032.2094939555,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2015",30597.0276338189,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2016",29290.3455991883,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2017",29915.5926235433,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2018",30777.4413527314,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2019",30918.2139569988,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2020",32673.0607293031,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2021",32368.4234066942,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1995",16292.5878441533,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1996",16964.9226106,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1997",17911.921839669,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1998",18873.9768777134,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1999",19896.8481690737,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2000",22257.5648556993,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2001",23851.0514827953,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2002",25565.105484979,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2003",24509.6830753004,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2004",25478.5822173826,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2005",25671.3513664824,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2006",27661.4593918533,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2007",29186.9432167276,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2008",30385.7648249351,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2009",30119.9218011729,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2010",29940.8084873073,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2011",30360.1041808595,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2012",31072.643726386,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2013",31685.5544464571,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2014",31934.9987011428,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2015",32193.9574422192,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2016",33258.2891477411,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2017",34379.9581297719,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2018",36263.6231113921,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2019",38038.6382688688,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2020",39703.217498366,"E"
"NLD","HHDI","GROSSADJ","USD_CAP","A","2021",41256.0097742923,"E"
"CZE","HHDI","GROSSADJ","USD_CAP","A","1995",9322.67582838215,
"CZE","HHDI","GROSSADJ","USD_CAP","A","1996",10167.1213360829,
"CZE","HHDI","GROSSADJ","USD_CAP","A","1997",10574.0646615375,
"CZE","HHDI","GROSSADJ","USD_CAP","A","1998",10535.5731694945,
"CZE","HHDI","GROSSADJ","USD_CAP","A","1999",10952.1279772836,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2000",11910.0421487387,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2001",12988.0270684236,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2002",13688.2846122152,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2003",14255.2845999762,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2004",14875.7408654523,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2005",15267.9942358595,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2006",15931.0684644134,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2007",16992.2036766479,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2008",17934.5260469879,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2009",18629.1187017599,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2010",19246.2639273033,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2011",19394.281379418,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2012",19842.0680912546,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2013",20841.7471910034,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2014",21889.7964426235,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2015",22313.3932226,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2016",23663.6652875739,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2017",25424.300200146,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2018",26770.8843323278,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2019",28746.8509021746,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2020",29167.7027914305,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2021",30785.1134473383,
"EU","HHDI","GROSSADJ","USD_CAP","A","1999",15989.7668135877,
"EU","HHDI","GROSSADJ","USD_CAP","A","2000",17409.6632417921,
"EU","HHDI","GROSSADJ","USD_CAP","A","2001",18448.3306174384,
"EU","HHDI","GROSSADJ","USD_CAP","A","2002",19699.6824501292,
"EU","HHDI","GROSSADJ","USD_CAP","A","2003",19795.6618277991,
"EU","HHDI","GROSSADJ","USD_CAP","A","2004",20598.11421003,
"EU","HHDI","GROSSADJ","USD_CAP","A","2005",20840.8059099301,
"EU","HHDI","GROSSADJ","USD_CAP","A","2006",21876.5980533494,
"EU","HHDI","GROSSADJ","USD_CAP","A","2007",22920.5774498025,
"EU","HHDI","GROSSADJ","USD_CAP","A","2008",24077.4770166496,
"EU","HHDI","GROSSADJ","USD_CAP","A","2009",24016.2920881223,
"EU","HHDI","GROSSADJ","USD_CAP","A","2010",24927.5837406145,
"EU","HHDI","GROSSADJ","USD_CAP","A","2011",25510.5939373587,
"EU","HHDI","GROSSADJ","USD_CAP","A","2012",25999.2127564932,
"EU","HHDI","GROSSADJ","USD_CAP","A","2013",26653.6344906326,
"EU","HHDI","GROSSADJ","USD_CAP","A","2014",27066.6762017215,
"EU","HHDI","GROSSADJ","USD_CAP","A","2015",27589.5218546769,
"EU","HHDI","GROSSADJ","USD_CAP","A","2016",29258.9921265225,
"EU","HHDI","GROSSADJ","USD_CAP","A","2017",30331.8015704934,
"EU","HHDI","GROSSADJ","USD_CAP","A","2018",31592.9221877435,
"EU","HHDI","GROSSADJ","USD_CAP","A","2019",33496.6483688703,
"EU","HHDI","GROSSADJ","USD_CAP","A","2020",34103.9439776108,
"EU","HHDI","GROSSADJ","USD_CAP","A","2021",35276.0574382384,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1995",19221.717760964,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1996",19863.7887390015,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1997",20065.9431258838,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1998",20352.3181781818,
